True Class,Predicted Class,Count
breast_malignant,breast_benign,170
oral_scc,oral_normal,131
oral_normal,oral_scc,82
lymph_mcl,lymph_fl,77
cervix_dyk,cervix_koc,54
kidney_tumor,kidney_normal,52
lymph_mcl,lymph_cll,47
brain_glioma,brain_menin,47
brain_menin,brain_tumor,45
lung_aca,lung_scc,37
lung_scc,lung_aca,36
all_benign,all_early,30
cervix_mep,cervix_dyk,28
brain_tumor,brain_menin,18
cervix_koc,cervix_sfi,16
all_pre,all_early,16
lymph_cll,lymph_fl,16
lymph_cll,lymph_mcl,14
cervix_koc,cervix_mep,12
oral_scc,breast_benign,8
lymph_fl,lymph_mcl,8
cervix_mep,cervix_koc,8
cervix_mep,cervix_sfi,6
brain_glioma,brain_tumor,6
lymph_fl,lymph_cll,5
lung_aca,lung_bnt,5
oral_scc,lung_scc,3
lung_scc,oral_normal,3
brain_menin,brain_glioma,3
cervix_koc,cervix_dyk,3
breast_benign,breast_malignant,3
breast_malignant,lung_scc,3
breast_malignant,colon_bnt,2
oral_normal,breast_benign,2
colon_aca,lung_bnt,1
colon_aca,lung_aca,1
colon_aca,colon_bnt,1
cervix_dyk,cervix_mep,1
all_pro,all_pre,1
all_pro,all_early,1
all_pro,all_benign,1
oral_scc,cervix_sfi,1
oral_scc,colon_aca,1
oral_scc,lymph_cll,1
breast_malignant,colon_aca,1
