Class,Accuracy
all_benign,96.0
all_early,100.0
all_pre,97.86666666666667
all_pro,99.6
brain_glioma,92.93333333333334
brain_menin,93.60000000000001
brain_tumor,97.6
breast_benign,99.6
breast_malignant,76.53333333333333
cervix_dyk,92.66666666666666
cervix_koc,95.86666666666666
cervix_mep,94.39999999999999
cervix_pab,100.0
cervix_sfi,100.0
colon_aca,99.6
colon_bnt,100.0
kidney_normal,100.0
kidney_tumor,93.06666666666666
lung_aca,94.39999999999999
lung_bnt,100.0
lung_scc,94.8
lymph_cll,96.0
lymph_fl,98.26666666666667
lymph_mcl,83.46666666666667
oral_normal,88.8
oral_scc,80.6924101198402
